movie_title,title_year,duration,content_rating,gross,budget,country,director_name,actor_main,director_facebook_likes,actor_main_facebook_likes,cast_total_facebook_likes,movie_facebook_likes,num_voted_users,facenumber_in_poster,imdb_score,Financial_Success
8 Women,2002,111,R,3076425,8000000,France,Franτois Ozon,Catherine Deneuve,141,1000,2500,2500,11830,1,7.1,0
Showdown in Little Tokyo,1991,79,R,2275557,8000000,USA,Mark L. Lester,Cary-Hiroyuki Tagawa,100,1000,2500,2500,6280.5,2,6,0
Clay Pigeons,1998,104,R,1789892,8000000,Germany,David Dobkin,Janeane Garofalo,100,1000,2500,128.75,4747,1,6.6,0
It's Kind of a Funny Story,2010,101,PG-13,6350058,8000000,USA,Anna Boden,Zoδ Kravitz,100,1000,2500,5000,53049,3,7.2,0
Made in Dagenham,2010,113,R,1094798,7200000,UK,Nigel Cole,Bob Hoskins,100,2500,3846,2500,5579,6,7.2,0
When Did You Last See Your Father?,2007,92,PG-13,1071240,8000000,UK,Anand Tucker,Colin Firth,100,7000,7924,2500,1785.5,2,6.9,0
Prefontaine,1997,106,PG-13,532190,8000000,USA,Steve James,Kurtwood Smith,100,1000,2500,2500,2836.5,2,6.8,0
Begin Again,2013,104,R,16168741,8000000,USA,John Carney,James Corden,300,2000,5000,43000,49715,1,7.4,1
Down in the Valley,2005,108,R,568695,8000000,USA,David Jacobson,Hunter Parrish,100,1000,2500,2500,8308.5,2,6.5,0
Brooklyn Rules,2007,99,R,398420,8000000,USA,Michael Corrente,Jerry Ferrara,100,1000,2500,2500,2524.5,3,6.4,0
The Singing Detective,2003,109,R,336456,8000000,USA,Keith Gordon,Robert Downey Jr.,100,10500,20822.5,2500,3558,2,5.6,0
Fido,2006,93,R,298110,8000000,Canada,Andrew Currie,Alexia Fast,100,1000,2500,2500,12527.5,1,6.8,0
The Wendell Baker Story,2005,99,PG-13,127144,8000000,USA,Andrew Wilson,Will Ferrell,187,4000,4804,2500,2579.5,4,5.5,0
Wild Target,2010,98,PG-13,117190,8000000,UK,Jonathan Lynn,Rupert Grint,100,5000,5885,2500,14997,4,6.9,0
Pathology,2008,95,R,108662,8000000,USA,Marc Sch÷lermann,John de Lancie,100,1000,2500,750,13424.5,0,6,0
Akira,1988,124,R,439162,1100000000,Japan,Katsuhiro ╘tomo,Mitsuo Iwata,100,1000,2500,2500,53080,0,8.1,0
Imagine Me & You,2005,90,R,671240,7900000,UK,Ol Parker,Celia Imrie,100,1000,2500,2500,11511.5,0,6.9,0
The Blood of Heroes,1989,90,R,882290,10000000,Australia,David Webb Peoples,Delroy Lindo,100,1000,2500,249.75,2396,2,6.5,0
Driving Miss Daisy,1989,99,PG,106593296,7500000,USA,Bruce Beresford,Morgan Freeman,300,11000,12619,3000,36162,1,7.4,1
Soul Food,1997,115,R,43490057,7500000,USA,George Tillman Jr.,Vanessa Williams,300,2000,5000,508,2637.5,6,6.9,1
Rumble in the Bronx,1995,89,R,32333860,7500000,Hong Kong,Stanley Tong,Franτoise Yip,300,2000,5000,10000,14921.5,1,6.7,1
Thank You for Smoking,2005,92,R,24792061,6500000,USA,Jason Reitman,J.K. Simmons,655,24000,25092,10000,95999,0,7.6,1
Hostel: Part II,2007,94,R,17544812,10000000,USA,Eli Roth,Jay Hernandez,300,2000,5000,10000,34994.5,0,5.4,1
An Education,2009,100,PG-13,12574715,4500000,UK,Lone Scherfig,Dominic Cooper,300,3000,5000,12000,56069,0,7.3,1
The Hotel New Hampshire,1984,109,R,5100000,7500000,UK,Tony Richardson,Joely Richardson,100,1000,2500,2500,3297.5,0,6,0
Narc,2002,105,R,10460089,7500000,USA,Joe Carnahan,Jason Patric,300,2000,5000,1000,17049,1,7.2,1
Men with Brooms,2002,102,R,4239767,7500000,Canada,Paul Gross,Molly Parker,129,1000,2500,2500,1854.5,3,6,0
Witless Protection,2008,97,PG-13,4131640,7500000,USA,Charles Robert Carner,Ivana Milicevic,100,1000,2500,2500,2731.5,2,3.1,0
Extract,2009,92,R,10814185,8000000,USA,Mike Judge,J.K. Simmons,406,24000,41867,10000,18765,6,6.2,1
Code 46,2003,93,R,197148,7500000,UK,Michael Winterbottom,Samantha Morton,100,1000,2500,2500,9054.5,0,6.3,0
Crash,2004,115,R,54557348,6500000,Germany,Paul Haggis,Don Cheadle,549,3000,5732,18000,180584.5,0,7.9,1
Albert Nobbs,2011,113,R,3014541,8000000,UK,Rodrigo Garcφa,Mia Wasikowska,100,1500,2500,2500,9808,3,6.7,0
Persepolis,2007,89,PG-13,4443403,7300000,France,Vincent Paronnaud,Catherine Deneuve,100,1000,2500,3500,35097,0,8,0
The Neon Demon,2016,118,R,1330827,7000000,France,Nicolas Winding Refn,Keanu Reeves,100,9000,9939.5,2500,4933,2,7,0
Harry Brown,2009,97,R,1818681,7300000,UK,Daniel Barber,Joseph Gilgun,100,1000,2500,2500,37217.5,1,7.2,0
Spider-Man 3,2007,156,PG-13,336530303,258000000,USA,Sam Raimi,J.K. Simmons,300,24000,46055,10000,191535.5,0,6.2,1
The Claim,2000,115,R,403932,20000000,UK,Michael Winterbottom,Milla Jovovich,100,7000,8552,2500,2627,4,6.5,0
Logan's Run,1976,119,PG,25000000,9000000,USA,Michael Anderson,Farrah Fawcett,300,2000,5000,10000,19923.5,1,6.8,1
The Man with the Golden Gun,1974,125,PG,21000000,13000000,UK,Guy Hamilton,Christopher Lee,300,16000,17611,2000,36975,3,6.8,1
Action Jackson,1988,96,R,20257000,7000000,USA,Craig R. Baxley,Bill Duke,300,2000,5282,978,3784.5,2,5.2,1
The Descent,2005,100,R,26005908,3500000,UK,Neil Marshall,MyAnna Buring,300,2000,5000,10000,77469,0,7.2,1
Devil's Due,2014,89,R,15818967,7000000,USA,Matt Bettinelli-Olpin,Zach Gilford,300,2000,5000,10000,6956.5,0,4,1
Flirting with Disaster,1996,92,R,14891000,7000000,USA,David O. Russell,Lily Tomlin,737,2000,5000,824,7544,3,6.8,1
The Devil's Rejects,2005,109,R,16901126,7000000,USA,Rob Zombie,Sid Haig,300,2000,5000,10000,38133.5,0,6.9,1
Dope,2015,103,R,17474107,7000000,USA,Rick Famuyiwa,Kimberly Elise,300,2000,5000,23000,28302.5,3,7.3,1
In Too Deep,1999,95,R,14003141,7000000,USA,Michael Rymer,LL Cool J,300,2000,5000,10000,2299,1,6.1,1
Skyfall,2012,143,PG-13,304360277,200000000,UK,Sam Mendes,Albert Finney,300,2000,5000,80000,261024,0,7.8,1
House of 1000 Corpses,2003,105,R,12583510,7000000,USA,Rob Zombie,Sid Haig,300,2000,5000,10000,30354.5,0,6,1
A Serious Man,2009,106,R,9190525,7000000,USA,Ethan Coen,Michael Stuhlbarg,1000,2000,5000,10000,51062.5,1,7,1
Get Low,2009,100,PG-13,9176553,7500000,USA,Aaron Schneider,Bill Murray,300,13000,19330,10000,9573.5,1,7.1,1
Warlock,1989,103,R,9094451,7000000,USA,Steve Miner,Julian Sands,300,2000,5000,10000,5834,0,6.2,1
A Single Man,2009,99,R,9166863,7000000,USA,Tom Ford,Colin Firth,300,14000,14816,16000,41591,2,7.6,1
The Last Temptation of Christ,1988,164,R,8373585,7000000,USA,Martin Scorsese,Irvin Kershner,16800,1000,2500,2500,19840,0,7.6,0
Outside Providence,1999,96,R,7292175,7000000,USA,Michael Corrente,Jonathan Brandis,100,1000,2500,2500,3868,3,6.4,0
Bride & Prejudice,2004,122,PG-13,6601079,7000000,UK,Gurinder Chadha,Indira Varma,100,1000,2500,2500,8718,1,6.2,0
Rabbit-Proof Fence,2002,94,PG,6165429,6000000,Australia,Phillip Noyce,Roy Billing,100,1000,2500,2500,11743,1,7.5,0
Who's Your Caddy?,2007,93,PG-13,5694308,7000000,USA,Don Michael Paul,Jeffrey Jones,100,1000,2500,2500,6907.5,0,2,0
Split Second,1992,96,R,5430822,7000000,UK,Tony Maylam,Michael J. Pollard,100,1000,2500,2500,4195.5,0,6.2,0
The Other Side of Heaven,2001,113,PG,4720371,7000000,USA,Mitch Davis,Anne Hathaway,100,5500,5558,162.5,1601.5,2,6.5,0
Redbelt,2008,99,R,2344847,7000000,USA,David Mamet,Alice Braga,142,1000,2500,2500,9280.5,0,6.8,0
Cyrus,2010,91,R,7455447,7000000,USA,Jay Duplass,Matt Walsh,100,1000,2500,2500,14983.5,2,6.3,0
A Dog of Flanders,1999,100,PG,2148212,7000000,USA,Kevin Brodie,Bruce McGill,100,1000,2500,2500,390.5,0,6.3,0
Auto Focus,2002,105,R,2062066,7000000,USA,Paul Schrader,Ed Begley Jr.,100,1000,2500,2500,5693.5,3,6.6,0
Factory Girl,2006,99,R,1654367,7000000,USA,George Hickenlooper,Hayden Christensen,100,2000,3263,750,9177.5,0,6.4,0
We Need to Talk About Kevin,2011,112,R,1738692,7000000,UK,Lynne Ramsay,Ezra Miller,100,1500,2500,9500,47764.5,0,7.5,0
The Mighty Macs,2009,99,G,1889522,7000000,USA,Tim Chambers,Ellen Burstyn,100,1000,2500,199.25,559.5,2,6.5,0
Mother and Child,2009,125,R,1110286,4825000,USA,Rodrigo Garcφa,Naomi Watts,100,3000,4438,2500,4863.5,6,7.2,0
March or Die,1977,107,PG,1000000,9000000,UK,Dick Richards,Catherine Deneuve,100,1000,2500,2500,1107.5,1,6.3,0
Les visiteurs,1993,107,R,700000,50000000,France,Jean-Marie PoirΘ,Christian Clavier,100,1000,2500,2500,12219,1,7,0
Somewhere,2010,97,R,1768416,7000000,USA,Sofia Coppola,Nathalie Fay,100,1000,2500,2500,17924,0,6.3,0
Chairman of the Board,1998,95,PG-13,306715,10000000,USA,Alex Zamm,Taylor Negron,100,1000,2606.5,181,2571.5,1,2.3,0
Hesher,2010,106,R,382946,7000000,USA,Spencer Susser,Joseph Gordon-Levitt,100,11500,22484.5,4750,21982.5,0,7.1,0
The Heart of Me,2002,96,R,196067,7000000,UK,Thaddeus O'Sullivan,Olivia Williams,100,1000,2500,2500,983,3,6.7,0
Freeheld,2015,103,PG-13,532988,7000000,USA,Peter Sollett,Steve Carell,100,3500,4830,2500,2931.5,0,6.5,0
The Extra Man,2010,108,R,453079,7000000,USA,Shari Springer Berman,Lynn Cohen,100,1000,2500,229,2062,4,5.9,0
Wah-Wah,2005,97,R,233103,7000000,UK,Richard E. Grant,Emily Watson,354,1000,2500,2500,1335,3,6.9,0
Pale Rider,1985,115,R,41400000,6900000,USA,Clint Eastwood,Clint Eastwood,16000,16000,17209,10000,19725.5,0,7.3,1
Dazed and Confused,1993,102,R,7993039,6900000,USA,Richard Linklater,Milla Jovovich,100,7000,9321.5,2500,60018,1,7.7,0
House at the End of the Street,2012,101,PG-13,31607598,6900000,Canada,Mark Tonderai,Jennifer Lawrence,300,34000,35717,10000,29183,1,5.6,1
Incendies,2010,139,R,6857096,6800000,Canada,Denis Villeneuve,Lubna Azabal,577,1000,2500,9250,40214.5,0,8.2,0
"Remember Me, My Love",2003,125,R,223878,5000000,Italy,Gabriele Muccino,Laura Morante,100,1000,2500,2500,1774,1,6.5,0
Annabelle,2014,99,R,84263837,6500000,USA,John R. Leonetti,Alfre Woodard,300,2000,5000,45000,40849.5,0,5.4,1
Bran Nue Dae,2009,88,PG-13,110029,6500000,Australia,Rachel Perkins,Deborah Mailman,100,1000,2500,2500,694,7,6.3,0
Boyz n the Hood,1991,112,R,57504069,6000000,USA,John Singleton,John Cothran,309,2000,5000,10000,47069.5,2,7.8,1
La Bamba,1987,108,PG-13,54215416,6500000,USA,Luis Valdez,Esai Morales,300,2000,5000,10000,10704.5,1,6.8,1
The Adventures of Huck Finn,1993,108,PG,24103594,6500000,USA,Stephen Sommers,Curtis Armstrong,300,2000,5000,10000,3192,0,6.2,1
Go,1999,102,R,16842303,6500000,USA,Doug Liman,Sarah Polley,300,2000,5000,10000,29737,3,7.3,1
Friends with Money,2006,88,R,13367101,6500000,USA,Nicole Holofcener,Greg Germann,300,2000,5000,515,9857.5,2,5.9,1
Bats,1999,91,PG-13,10149779,6500000,USA,Louis Morneau,Leon,300,2000,5000,10000,4147,0,3.6,1
Nowhere in Africa,2001,141,R,6173485,7000000,Germany,Caroline Link,Merab Ninidze,100,1000,2500,200.5,5336,0,7.7,0
Shame,2011,101,NC-17,4000304,6500000,UK,Steve McQueen,Michael Fassbender,100,6500,7615,5750,72697.5,0,7.3,0
Layer Cake,2004,105,R,2338695,4000000,UK,Matthew Vaughn,Tom Hardy,705,13500,14638.5,2500,67035,1,7.4,0
The Work and the Glory II: American Zion,2005,100,PG-13,2024854,6500000,USA,Sterling Van Wagenen,Emily Podleski,100,1000,2500,2500,282,2,6.6,0
The East,2013,116,PG-13,2268296,6500000,UK,Zal Batmanglij,Alexander Skarsgσrd,100,5000,6590,3000,20928,4,6.9,0
A Home at the End of the World,2004,97,R,1029017,6500000,USA,Michael Mayer,Robin Wright,100,9000,10553.5,250,6024.5,2,6.8,0
Control,2007,122,R,871577,4500000,UK,Anton Corbijn,Sam Riley,100,1000,2500,3250,25676.5,1,7.7,0
The Terminator,1984,107,R,38400000,6500000,UK,James Cameron,Michael Biehn,300,2000,5000,13000,300133,1,8.1,1
Good Bye Lenin!,2003,121,R,4063859,4800000,Germany,Wolfgang Becker,Florian Lukas,100,1000,2500,2750,57203.5,2,7.7,0
The Damned United,2009,98,R,449558,10000000,UK,Tom Hooper,Stephen Graham,100,1000,2500,2500,16153.5,2,7.6,0
Mallrats,1995,123,R,2122561,6000000,USA,Kevin Smith,Ethan Suplee,100,1000,2500,2500,49516.5,6,7.2,0
Van Wilder: Party Liaison,2002,94,R,21005329,6000000,Germany,Walt Becker,Ryan Reynolds,300,16000,19341,10000,44564,0,6.4,1
The Wrestler,2008,109,R,26236603,6000000,USA,Darren Aronofsky,Mark Margolis,300,2000,5000,10000,125674.5,0,7.9,1
Best in Show,2000,90,PG-13,18621249,6000000,USA,Christopher Guest,John Michael Higgins,378,2000,5000,10000,22929.5,9,7.5,1
Escape from New York,1981,106,R,25244700,6000000,UK,John Carpenter,Donald Pleasence,300,2000,5000,10000,45508.5,1,7.2,1
School Daze,1988,121,R,14545844,6500000,USA,Spike Lee,Tisha Campbell-Martin,300,2000,5000,624,2378,4,5.8,1
Daddy Day Camp,2007,89,PG,13235267,6000000,USA,Fred Savage,Lochlyn Munro,300,2000,5000,10000,6169.5,2,2.9,1
Mystic Pizza,1988,104,R,12793213,6000000,USA,Donald Petrie,Julia Roberts,300,8000,10430,10000,9143,4,6.2,1
Sliding Doors,1998,99,R,11883495,9000000,UK,Peter Howitt,Jeanne Tripplehorn,300,2000,5000,10000,26402.5,1,6.8,1
Tales from the Hood,1995,98,R,11797927,6000000,USA,Rusty Cundieff,Corbin Bernsen,300,2000,5000,985,2291,0,6.1,1
The Last King of Scotland,2006,121,R,17605861,6000000,UK,Kevin Macdonald,David Oyelowo,300,2000,5000,10000,72790,1,7.7,1
Bernie,2011,99,PG-13,9203192,5000000,USA,Richard Linklater,Matthew McConaughey,300,11000,11328,15000,22698,1,6.8,1
Pollock,2000,122,R,8596914,6000000,USA,Ed Harris,John Heard,300,2000,5000,10000,11511.5,0,7,1
200 Cigarettes,1999,101,R,6851636,6000000,USA,Risa Bramon Garcia,Janeane Garofalo,100,1000,2500,2500,6505,5,5.9,0
The Words,2012,102,PG-13,11434867,6000000,USA,Brian Klugman,J.K. Simmons,300,24000,51355,21000,29818.5,1,7.1,1
Casa de mi Padre,2012,84,R,5895238,6000000,USA,Matt Piedmont,Will Ferrell,100,4000,5061.5,2250,8584.5,1,5.5,0
City Island,2009,104,PG-13,6670712,6000000,USA,Raymond De Felitta,Ezra Miller,100,1500,2500,2500,13650.5,6,7.4,0
The Guard,2011,96,R,5359774,6000000,Ireland,John Michael McDonagh,Don Cheadle,100,1500,2500,4250,32397,0,7.3,0
College,2008,94,R,4693919,6500000,USA,Deb Hagan,Drake Bell,100,1000,2500,2500,5505.5,0,4.6,0
The Virgin Suicides,1999,90,R,4859475,6000000,USA,Sofia Coppola,Kirsten Dunst,100,2000,3551.5,2500,58455,0,7.2,0
Miss March,2009,90,R,4542775,6000000,USA,Zach Cregger,Hugh M. Hefner,100,1000,2500,246.25,9156.5,2,5.1,0
Wish I Was Here,2014,106,R,3588432,6000000,USA,Zach Braff,Jim Parsons,100,8500,9473.5,2500,14670.5,4,6.7,0
Simply Irresistible,1999,96,PG-13,4394936,6000000,Germany,Mark Tarlov,Sarah Michelle Gellar,100,2000,2834,225.25,5719.5,1,5.3,0
Hedwig and the Angry Inch,2001,95,R,3029081,6000000,USA,John Cameron Mitchell,John Cameron Mitchell,100,1000,2500,2500,13150,0,7.8,0
Only the Strong,1993,99,PG-13,3273588,6000000,USA,Sheldon Lettich,Antoni Corone,100,1000,2500,2500,2097.5,1,6.7,0
Shattered Glass,2003,99,PG-13,2207975,6000000,USA,Billy Ray,Hayden Christensen,100,2000,4148.5,2500,14427.5,0,7.2,0
Novocaine,2001,95,R,2025238,6000000,USA,David Atkins,Chelcie Ross,100,1000,2500,2500,4794.5,3,5.8,0
The Wackness,2008,99,R,2077046,6000000,USA,Jonathan Levine,Mary-Kate Olsen,100,1000,2500,2500,13633,2,7,0
Beastmaster 2: Through the Portal of Time,1991,107,PG-13,869325,6000000,USA,Sylvio Tabet,Michael Berryman,100,1000,2500,2500,1140.5,2,3.8,0
The 5th Quarter,2010,90,PG,399611,6000000,USA,Rick Bieber,Aidan Quinn,100,1000,2500,2500,622.5,2,5.7,0
The Greatest,2009,96,R,115862,6000000,USA,Shana Feste,Jennifer Ehle,100,1000,2500,2500,3697,2,6.7,0
Come Early Morning,2006,97,R,117560,6000000,USA,Joey Lauren Adams,Tim Blake Nelson,581,1000,2500,2500,1165,0,6.2,0
L'auberge espagnole,2002,111,R,3895664,5300000,France,CΘdric Klapisch,Romain Duris,100,1000,2500,2500,17191.5,0,7.3,0
Murder by Numbers,2002,115,R,31874869,50000000,USA,Barbet Schroeder,Ryan Gosling,100,16500,17302.5,2500,21787.5,0,6.1,0
Winter in Wartime,2008,103,R,542860,4000000,Netherlands,Martin Koolhoven,Yorick van Wageningen,100,1000,2500,2500,4615,1,7.1,0
The Protector,2005,111,R,11905519,200000000,Thailand,Prachya Pinkaew,Jon Foo,100,1000,2500,2500,15105,0,7.1,0
Bend It Like Beckham,2002,112,PG-13,32541719,3500159,UK,Gurinder Chadha,Archie Panjabi,300,2000,5000,10000,44903,0,6.7,1
Sunshine State,2002,141,PG-13,3064356,5600000,USA,John Sayles,Miguel Ferrer,207,1000,2500,2500,1716.5,6,6.9,0
Crossover,2006,95,PG-13,7009668,5600000,USA,Preston A. Whitmore II,Wesley Jonathan,100,1000,2500,2500,4353.5,6,2.1,0
Ghost World,2001,111,R,6200756,7000000,USA,Terry Zwigoff,Scarlett Johansson,100,9500,17053,1250,48064.5,0,7.4,0
Iris,2001,91,R,1292119,5500000,UK,Richard Eyre,Kate Winslet,100,7000,8384,2500,7393,1,7.1,0
The Chorus,2004,97,PG-13,3629758,5500000,France,Christophe Barratier,Jean-Baptiste Maunier,100,1000,2500,2500,22075.5,0,7.9,0
Mambo Italiano,2003,92,R,6239558,5000000,Canada,╔mile Gaudreault,Paul Sorvino,100,1000,2500,2500,2774,0,6.7,0
Wonderland,2003,104,R,1056102,5000000,USA,James Cox,Alexis Dziena,100,1000,2500,250,9396,0,6.6,0
Do the Right Thing,1989,120,R,27545445,6500000,USA,Spike Lee,Ruby Dee,300,2000,5000,10000,29762,2,7.9,1
The Ten,2007,96,R,766487,5250000,USA,David Wain,Jon Hamm,100,2000,2500,228.75,7657.5,4,5,0
Headhunters,2011,100,R,1196752,30300000,Norway,Morten Tyldum,Aksel Hennie,100,1000,2500,5750,39676.5,3,7.6,0
Saint Ralph,2004,98,PG-13,795126,6000000,Canada,Michael McGowan,Campbell Scott,100,1000,2500,247.25,2488,1,7.6,0
April Fool's Day,1986,89,R,12947763,5000000,USA,Fred Walton,Thomas F. Wilson,300,2000,5000,10000,5312,0,6.2,1
Diner,1982,110,R,14100000,5000000,USA,Barry Levinson,Steve Guttenberg,300,2000,5000,10000,7497.5,6,7.2,1
Lone Wolf McQuade,1983,107,PG,12200000,5000000,USA,Steve Carver,David Carradine,300,2000,5000,10000,3986.5,0,6.3,1
Apollo 18,2011,86,PG-13,17683670,5000000,USA,Gonzalo L≤pez-Gallego,Warren Christie,300,2000,5000,10000,23613.5,0,5.2,1
Sunshine Cleaning,2008,91,R,12055108,8000000,USA,Christine Jeffs,Clifton Collins Jr.,300,2000,5000,10000,30575.5,0,6.9,1
No Escape,2015,103,R,27285953,5000000,USA,John Erick Dowdle,Sterling Jerins,300,2000,5000,16000,24337.5,0,6.8,1
Not Easily Broken,2009,99,PG-13,10572742,8000000,USA,Bill Duke,Eddie Cibrian,1000,2000,5000,738,1163,1,6.1,1
Digimon: The Movie,2000,82,PG,9628751,5000000,USA,Mamoru Hosoda,Lara Jill Miller,300,2000,5000,10000,2582,0,5.9,1
Saved!,2004,92,PG-13,8786715,5000000,USA,Brian Dannelly,Macaulay Culkin,300,3000,5668,10000,20137,5,6.9,1
The Barbarian Invasions,2003,112,R,3432342,6000000,Canada,Denys Arcand,Marie-JosΘe Croze,100,1000,2500,2500,12460.5,2,7.7,0
The Forsaken,2001,90,R,6755271,5000000,USA,J.S. Cardone,Brendan Fehr,300,2000,5000,10000,3659.5,4,5.3,1
UHF,1989,150,PG-13,6157157,5000000,USA,Jay Levey,Fran Drescher,100,1000,2500,2500,10708,1,7,0
Slums of Beverly Hills,1998,91,R,5480318,5000000,USA,Tamara Jenkins,Natasha Lyonne,100,1000,2500,2500,4713.5,0,6.6,0
Made,2001,95,R,5308707,5000000,USA,Jon Favreau,Jon Favreau,3800,2000,2622.5,2500,7526.5,2,6.4,0
Moon,2009,97,R,5009677,5000000,UK,Duncan Jones,Kevin Spacey,100,9000,9702,11750,130303.5,0,7.9,0
The Sweet Hereafter,1997,112,R,4306697,5000000,Canada,Atom Egoyan,Bruce Greenwood,260,1000,2500,230,13360,0,7.7,0
Of Gods and Men,2010,122,PG-13,3950029,4000000,France,Xavier Beauvois,Lambert Wilson,100,1000,2500,2500,6205.5,0,7.2,0
Bottle Shock,2008,110,PG-13,4040588,5000000,USA,Randall Miller,Alan Rickman,100,12500,12838,2500,6116.5,0,6.8,0
Heavenly Creatures,1994,108,R,3049135,5000000,New Zealand,Peter Jackson,Kate Winslet,100,7000,7287,2500,25098.5,2,7.4,0
90 Minutes in Heaven,2015,121,PG-13,4700361,5000000,USA,Michael Polish,Hayden Christensen,100,2000,3308.5,2500,1023.5,0,4.6,0
Everything Must Go,2010,97,R,2711210,5000000,USA,Dan Rush,Will Ferrell,100,4000,5258.5,2500,20152.5,1,6.4,0
Zero Effect,1998,116,R,1980338,5000000,USA,Jake Kasdan,Kim Dickens,100,1000,2500,126.75,6183,2,7,0
The Machinist,2004,94,R,1082044,5000000,Spain,Brad Anderson,Christian Bale,100,11500,12497,5250,140824.5,0,7.7,0
Light Sleeper,1992,103,R,1100000,5000000,USA,Paul Schrader,Dana Delany,100,1000,2500,2500,1832.5,0,6.8,0
Kill the Messenger,2014,112,R,2445646,5000000,USA,Michael Cuesta,Jeremy Renner,100,5000,6448.5,3250,16191,1,7,0
Rabbit Hole,2010,91,PG-13,2221809,5000000,USA,John Cameron Mitchell,Dianne Wiest,100,1000,2500,2500,20309,0,7,0
Party Monster,2003,98,R,296665,5000000,USA,Fenton Bailey,Macaulay Culkin,100,1500,2592.5,2500,6337.5,1,6.3,0
Green Room,2015,95,R,3219029,5000000,USA,Jeremy Saulnier,Alia Shawkat,100,1000,2500,2500,14422.5,0,7.1,0
Bottle Rocket,1996,91,R,1040879,7000000,USA,Wes Anderson,Andrew Wilson,100,1000,2500,2500,27239,0,7.1,0
Albino Alligator,1996,97,R,326308,5000000,USA,Kevin Spacey,Viggo Mortensen,17800,5000,6859,2500,3316,3,6.1,0
"Lovely, Still",2008,90,PG,124720,5000000,USA,Nicholas Fackler,Adam Scott,100,1500,2500,194.25,780,0,7.3,0
